itemID,itemTitle,Attributes
1,Item 1,Attribute1|Attribute2|Attribute3|Attribute4|Attribute5
2,Item 2,Attribute1|Attribute3|Attribute5
3,Item 3,Attribute4|Attribute7
4,Item 4,Attribute4|Attribute6|Attribute7
5,Item 5,Attribute4
6,Item 6,Attribute8|Attribute9|Attribute10
7,Item 7,Attribute4|Attribute7
8,Item 8,Attribute1|Attribute3
9,Item 9,Attribute8
10,Item 10,Attribute8|Attribute1|Attribute10
11,Item 11,Attribute4|Attribute6|Attribute7
12,Item 12,Attribute4|Attribute13
13,Item 13,Attribute1|Animation|Attribute3
14,Item 14,Attribute6
15,Item 15,Attribute8|Attribute1|Attribute7
16,Item 16,Attribute9|Attribute6
17,Item 17,Attribute6|Attribute7
18,Item 18,Attribute4
19,Item 19,Attribute4
20,Item 20,Attribute8|Attribute4|Attribute9|Attribute6|Attribute10
21,Item 21,Attribute4|Attribute9|Attribute10
22,Item 22,Attribute9|Attribute6|Attribute13|Attribute12|Attribute10
23,Item 23,Attribute8|Attribute9|Attribute10
24,Item 24,Attribute6|Attribute11
25,Item 25,Attribute6|Attribute7
26,Item 26,Attribute6
27,Item 27,Attribute3|Attribute6
28,Item 28,Attribute6|Attribute7
29,Item 29,Attribute1|Attribute6|Attribute5|Attribute12|Attribute11
30,Item 30,Attribute9|Attribute6
31,Item 31,Attribute6
32,Item 32,Attribute12|Attribute11|Attribute10
34,Item 33,Attribute3|Attribute6
36,Item 34,Attribute9|Attribute6
38,Item 35,Attribute3|Attribute4
39,Item 36,Attribute4|Attribute7
40,Item 37,Attribute6
41,Item 38,Attribute6|Attribute16
42,Item 39,Attribute8|Attribute9|Attribute6
43,Item 40,Attribute6
44,Item 41,Attribute8|Attribute1|Attribute5
45,Item 42,Attribute4|Attribute6|Attribute10
46,Item 43,Attribute6|Attribute7
47,Item 44,Attribute12|Attribute10
48,Item 45,Animation|Attribute3|Attribute6|Attribute14|Attribute7
49,Item 46,Attribute6|Attribute7
50,Item 47,Attribute9|Attribute12|Attribute10
52,Item 48,Attribute4|Attribute6|Attribute7
53,Item 49,Attribute1|Attribute6
54,Item 50,Attribute3|Attribute4
55,Item 51,Attribute6
57,Item 52,Attribute6
58,Item 53,Attribute4|Attribute6|Attribute7
60,Item 54,Attribute1|Attribute3|Attribute5
61,Item 55,Attribute6|Attribute10
62,Item 56,Attribute6
63,Item 57,Attribute4|Attribute9
64,Item 58,Attribute4|Attribute7
65,Item 59,Attribute4
66,Item 60,Attribute8|Attribute11|Attribute10
68,Item 61,Attribute4|Attribute7
69,Item 62,Attribute4
70,Item 63,Attribute8|Attribute4|Attribute13|Attribute10
71,Item 64,Attribute8
72,Item 65,Attribute4|Attribute6
73,Item 66,Attribute6|Attribute16
74,Item 67,Attribute6|Attribute7
75,Item 68,Attribute4|Attribute6
76,Item 69,Attribute8|Attribute11|Attribute10
77,Item 70,Attribute15
78,Item 71,Attribute8|Attribute9|Attribute6|Attribute10
79,Item 72,Attribute6|Attribute10
80,Item 73,Attribute3|Attribute6
81,Item 74,Attribute9|Attribute6|Attribute7
82,Item 75,Attribute4|Attribute6
83,Item 76,Attribute6|Attribute7
85,Item 77,Attribute6|Attribute7
86,Item 78,Attribute8|Attribute1|Attribute6
87,Item 79,Attribute3|Attribute4
88,Item 80,Attribute4
89,Item 81,Attribute8|Attribute10
92,Item 82,Attribute6|Attribute13|Attribute10
93,Item 83,Attribute4|Attribute13|Attribute7
94,Item 84,Attribute4|Attribute6|Attribute7
95,Item 85,Attribute8|Attribute1|Attribute10
96,Item 86,Attribute4|Attribute6
97,Item 87,Attribute9|Attribute6
99,Item 88,Attribute15
100,Item 89,Attribute6|Attribute10
101,Item 90,Attribute1|Attribute4|Attribute9|Attribute7
102,Item 91,Attribute4
103,Item 92,Attribute12|Attribute11|Attribute10
104,Item 93,Attribute4
105,Item 94,Attribute6|Attribute7
106,Item 95,Attribute4|Attribute6
107,Item 96,Attribute1|Attribute3|Attribute4|Attribute14
108,Item 97,Attribute15
110,Item 98,Attribute8|Attribute6|Attribute16
111,Item 99,Attribute9|Attribute6|Attribute10
112,Item 100,Attribute8|Attribute1|Attribute4|Attribute9
113,Item 101,Attribute6|Attribute12
116,Item 102,Attribute15
117,Item 103,Attribute9|Attribute6
118,Item 104,Attribute4|Attribute7
119,Item 105,Attribute4
121,Item 106,Attribute6
122,Item 107,Attribute4|Attribute7
123,Item 108,Attribute6|Attribute12|Attribute7
125,Item 109,Attribute4
126,Item 110,Attribute1|Attribute3|Attribute5
128,Item 111,Attribute15
129,Item 112,Attribute4|Attribute7
132,Item 113,Attribute10
135,Item 114,Attribute4
137,Item 115,Attribute15
140,Item 116,Attribute6|Attribute7
141,Item 117,Attribute4
144,Item 118,Attribute4
145,Item 119,Attribute8|Attribute4|Attribute9|Attribute6|Attribute10
146,Item 120,Attribute1|Attribute3
147,Item 121,Attribute6
148,Item 122,Attribute6
149,Item 123,Attribute9|Attribute6|Attribute10
150,Item 124,Attribute1|Attribute6|Attribute17
151,Item 125,Attribute8|Attribute6|Attribute7|Attribute16
152,Item 126,Attribute6|Attribute13
153,Item 127,Attribute8|Attribute1|Attribute4|Attribute9
154,Item 128,Attribute6
155,Item 129,Attribute1|Attribute6|Attribute16
156,Item 130,Attribute4|Attribute6
157,Item 131,Attribute4|Attribute16
158,Item 132,Attribute1|Attribute3
159,Item 133,Attribute9|Attribute6|Attribute12
160,Item 134,Attribute8|Attribute1|Attribute12|Attribute11
161,Item 135,Attribute6|Attribute10|Attribute16
162,Item 136,Attribute15
163,Item 137,Attribute8|Attribute7|Attribute18
164,Item 138,Attribute9|Attribute19|Attribute12|Attribute10
165,Item 139,Attribute8|Attribute9|Attribute10
166,Item 140,Attribute4|Attribute9|Attribute6
168,Item 141,Attribute8|Attribute6|Attribute7
169,Item 142,Attribute1|Attribute3|Attribute6
170,Item 143,Attribute8|Attribute1|Attribute9|Attribute10
171,Item 144,Attribute4|Attribute6
172,Item 145,Attribute8|Attribute11|Attribute10
173,Item 146,Attribute8|Attribute9|Attribute11
174,Item 147,Attribute4
175,Item 148,Attribute6
176,Item 149,Attribute4
177,Item 150,Attribute13
178,Item 151,Attribute4|Attribute6
179,Item 152,Attribute6|Attribute7
180,Item 153,Attribute4|Attribute7
181,Item 154,Attribute8|Attribute3
183,Item 155,Attribute4|Attribute13|Attribute10
184,Item 156,Attribute6
185,Item 157,Attribute8|Attribute9|Attribute10
186,Item 158,Attribute4|Attribute7
187,Item 159,Attribute4
188,Item 160,Attribute5|Attribute13|Attribute12
189,Item 161,Attribute4|Attribute5
190,Item 162,Attribute10
