asin,title,price,imUrl,brand,categories,description
0000037214,Purple Sequin Tiny Dancer Tutu Ballet Dance Fairy Princess Costume Accessory,6.99,http://ecx.images-amazon.com/images/I/31mCncNuAZL.jpg,Big Dreams,"[['Clothing, Shoes & Jewelry', 'Girls'], ['Clothing, Shoes & Jewelry', 'Novelty, Costumes & More', 'Costumes & Accessories', 'More Accessories', 'Kids & Baby']]",
0456844570,RiZ Women's Beautify Crafted &frac12; Rimmed Floral Clubmaster Sunglasses,,http://ecx.images-amazon.com/images/I/31QZTHxvqFL._SX342_.jpg,,"[['Clothing, Shoes & Jewelry', 'Women', 'Accessories', 'Sunglasses & Eyewear Accessories', 'Sunglasses'], ['Clothing, Shoes & Jewelry', 'Novelty, Costumes & More', 'Band & Music Fan', 'Accessories']]",
0456808574,Lantin White Visor Wrap Around Ski Style Aviator Sunglasses with Black Lenses,,http://ecx.images-amazon.com/images/I/31UsrgT51RL._SX342_.jpg,,"[['Clothing, Shoes & Jewelry', 'Women', 'Accessories', 'Sunglasses & Eyewear Accessories', 'Sunglasses'], ['Clothing, Shoes & Jewelry', 'Men', 'Accessories', 'Sunglasses & Eyewear Accessories', 'Sunglasses'], ['Clothing, Shoes & Jewelry', 'Novelty, Costumes & More', 'Band & Music Fan', 'Accessories']]",
0456830197,NVC Unisex Light Weight Silver 'Dakota' Glasses Case with Brushed Metal Finish,,http://ecx.images-amazon.com/images/I/21PGEX1t2pL.jpg,,"[['Clothing, Shoes & Jewelry', 'Women', 'Accessories', 'Sunglasses & Eyewear Accessories', 'Sunglasses'], ['Clothing, Shoes & Jewelry', 'Men', 'Accessories', 'Sunglasses & Eyewear Accessories', 'Sunglasses']]",
0456856293,Kismeth Eyewear Classic Large Top Gun Aviator Sunglasses with Gold Frames &amp; Green Smoked Lenses,,http://ecx.images-amazon.com/images/I/31-NheYDxSL._SX395_.jpg,,"[['Clothing, Shoes & Jewelry', 'Women', 'Accessories', 'Sunglasses & Eyewear Accessories', 'Sunglasses'], ['Clothing, Shoes & Jewelry', 'Men', 'Accessories', 'Sunglasses & Eyewear Accessories', 'Sunglasses']]",
0456840532,Max-MPH Black - Large Wayfarer Sunglasses Available in Black with Extra Dark Lenses &amp; Black with Clear (No Strength) Lenses,,http://ecx.images-amazon.com/images/I/11q4qGCdw3L.jpg,,"[['Clothing, Shoes & Jewelry', 'Women', 'Accessories', 'Sunglasses & Eyewear Accessories', 'Sunglasses'], ['Clothing, Shoes & Jewelry', 'Men', 'Accessories', 'Sunglasses & Eyewear Accessories', 'Sunglasses'], ['Clothing, Shoes & Jewelry', 'Novelty, Costumes & More', 'Band & Music Fan', 'Accessories']]",
0456787283,FX1 Small Adult Aviator Sunglasses with Silver Frames &amp; Fully Mirrored Lenses Offering Full UV400 Protection Cat 4 Lenses,,http://ecx.images-amazon.com/images/I/31dS6eGuUvL._SX342_.jpg,,"[['Clothing, Shoes & Jewelry', 'Women', 'Accessories', 'Sunglasses & Eyewear Accessories', 'Sunglasses'], ['Clothing, Shoes & Jewelry', 'Men', 'Accessories', 'Sunglasses & Eyewear Accessories', 'Sunglasses'], ['Clothing, Shoes & Jewelry', 'Novelty, Costumes & More', 'Band & Music Fan', 'Accessories']]",
0000031887,Ballet Dress-Up Fairy Tutu,6.79,http://ecx.images-amazon.com/images/I/314qZjYevsL.jpg,Boutique Cutie,"[['Clothing, Shoes & Jewelry', 'Girls', 'Clothing', 'Active', 'Active Skirts']]","This adorable basic ballerina tutu is perfect for dance recitals. Fairy Princes Dress up, costume, play and much. Comes individually packaged. Use for a Tinkerbell dress up accessory and watch her flutter excitedly for hours in her tutu. Very soft elastic waist that is trimmed in satin and stretches to fit from an average size 3 to a size 8."
0641674791,Red Crocodile Embossed Leather Travel Wallet,,http://ecx.images-amazon.com/images/I/31wW2pPmj0L._SY300_.jpg,,"[['Clothing, Shoes & Jewelry', 'Women', 'Accessories', 'Wallets, Card Cases & Money Organizers', 'Wallets']]","ISBN: 0641674791
ISBN-13: 9780641674792
Manufacturer: Barnes & Noble"
0641997078,Vera Bradley Tote Blue Rhapsody,47.99,http://ecx.images-amazon.com/images/I/51WqmUxYACL._SY300_.jpg,,"[['Clothing, Shoes & Jewelry', 'Luggage & Travel Gear', 'Luggage', 'Travel Totes']]","Vera Bradley Tote
1 veryberry paisley,3 symphony in hue, 2 baroque 2 poppy fields 1 blue rhapsody in stock."
